,train_loss,valid_loss,accuracy_breed,accuracy_species,w,id
0,0.5070587992668152,0.40195968747138977,0.03721245005726814,0.7916103005409241,0.0,1
1,0.4332105815410614,0.3456302285194397,0.04668470844626427,0.8335588574409485,0.0,1
2,0.3599124848842621,0.2944890856742859,0.042625170201063156,0.8626522421836853,0.0,1
3,0.2992207705974579,0.2879680097103119,0.03991881012916565,0.877537190914154,0.0,1
4,0.2576739192008972,0.2638513147830963,0.03721245005726814,0.8788903951644897,0.0,1
5,0.22092078626155853,0.24498744308948517,0.0392422191798687,0.898511528968811,0.0,1
6,0.1869003027677536,0.23539237678050995,0.03721245005726814,0.8964817523956299,0.0,1
7,0.1591646820306778,0.23421812057495117,0.046008117496967316,0.9032476544380188,0.0,1
8,0.13889378309249878,0.23147167265415192,0.03653585910797119,0.9066305756568909,0.0,1
9,0.1358075886964798,0.22949834167957306,0.041271988302469254,0.9120432734489441,0.0,1
0,0.5109407901763916,0.4105105996131897,0.05142083764076233,0.7848443984985352,0.0,2
1,0.44104310870170593,0.34934672713279724,0.049391068518161774,0.8247631788253784,0.0,2
2,0.36378875374794006,0.30122530460357666,0.05142083764076233,0.8558863401412964,0.0,2
3,0.30058586597442627,0.27572399377822876,0.04668470844626427,0.8707712888717651,0.0,2
4,0.2560252249240875,0.2658664882183075,0.05480378866195679,0.8788903951644897,0.0,2
5,0.22284357249736786,0.24469128251075745,0.06427604705095291,0.8971583247184753,0.0,2
6,0.17898401618003845,0.24371783435344696,0.0602165088057518,0.8964817523956299,0.0,2
7,0.15798960626125336,0.25386613607406616,0.05480378866195679,0.9018944501876831,0.0,2
8,0.15025068819522858,0.23891831934452057,0.050744250416755676,0.9018944501876831,0.0,2
9,0.13543403148651123,0.24257682263851166,0.05142083764076233,0.9046007990837097,0.0,2
0,0.5087888240814209,0.4097704589366913,0.04736129939556122,0.7814614176750183,0.0,3
1,0.4298255443572998,0.3523483872413635,0.05683355778455734,0.8355886340141296,0.0,3
2,0.3615131378173828,0.30651018023490906,0.058863330632448196,0.8545331358909607,0.0,3
3,0.30966290831565857,0.2781617045402527,0.042625170201063156,0.8633288145065308,0.0,3
4,0.2503049373626709,0.2821364402770996,0.04736129939556122,0.8755074143409729,0.0,3
5,0.21147596836090088,0.24213062226772308,0.05548037961125374,0.9032476544380188,0.0,3
6,0.18316739797592163,0.2407551407814026,0.057510148733854294,0.899864673614502,0.0,3
7,0.1584385186433792,0.2379971593618393,0.05209742859005928,0.9039242267608643,0.0,3
8,0.14532490074634552,0.24426043033599854,0.050744250416755676,0.8964817523956299,0.0,3
9,0.13680194318294525,0.24041783809661865,0.05277401953935623,0.9018944501876831,0.0,3
0,0.4978664517402649,0.42181867361068726,0.041271988302469254,0.7774019241333008,0.0,4
1,0.4401821196079254,0.3511907458305359,0.05345061048865318,0.8234100341796875,0.0,4
2,0.3612796366214752,0.3112160861492157,0.050067659467458725,0.8552097678184509,0.0,4
3,0.30535659193992615,0.28561267256736755,0.04330175742506981,0.8836265206336975,0.0,4
4,0.24946178495883942,0.2658248543739319,0.03856562823057175,0.8836265206336975,0.0,4
5,0.2229839712381363,0.24910397827625275,0.04871447756886482,0.8890392184257507,0.0,4
6,0.18736404180526733,0.2470865696668625,0.046008117496967316,0.8958051204681396,0.0,4
7,0.166314959526062,0.2533685266971588,0.050744250416755676,0.8883626461029053,0.0,4
8,0.14766456186771393,0.24491339921951294,0.050067659467458725,0.8971583247184753,0.0,4
9,0.13547150790691376,0.24512238800525665,0.04668470844626427,0.8937753438949585,0.0,4
0,0.4938291609287262,0.4210742712020874,0.03585926815867424,0.7889039516448975,0.0,5
1,0.4179491698741913,0.3412417471408844,0.03721245005726814,0.8389715552330017,0.0,5
2,0.3707399070262909,0.29944610595703125,0.04668470844626427,0.8633288145065308,0.0,5
3,0.304158478975296,0.2632654905319214,0.04736129939556122,0.8890392184257507,0.0,5
4,0.2566327452659607,0.2565397322177887,0.04533153027296066,0.8876860737800598,0.0,5
5,0.22090576589107513,0.22685390710830688,0.04736129939556122,0.9032476544380188,0.0,5
6,0.18963269889354706,0.23543857038021088,0.042625170201063156,0.898511528968811,0.0,5
7,0.1603093445301056,0.2182983011007309,0.04533153027296066,0.9073071479797363,0.0,5
8,0.14911624789237976,0.21452899277210236,0.04803789034485817,0.9100135564804077,0.0,5
